№ | Latitude | Longitude | Distance (m) | Elevation (m)
 0|48.164214|24.536044|      0.00| 1264.00
 1|48.164983|24.534836|    123.85| 1285.00
 2|48.165605|24.534068|    213.45| 1285.00
 3|48.166228|24.532915|    323.50| 1333.00
 4|48.166777|24.531927|    418.87| 1310.00
 5|48.167326|24.530884|    517.41| 1318.00
 6|48.167011|24.530061|    587.78| 1318.00
 7|48.166053|24.528039|    771.72| 1339.00
 8|48.166655|24.526064|    932.77| 1375.00
 9|48.166497|24.523574|   1118.27| 1417.00
10|48.166128|24.520214|   1370.81| 1486.00
11|48.165416|24.517170|   1610.05| 1524.00
12|48.164546|24.514640|   1821.16| 1553.00
13|48.163412|24.512980|   1997.39| 1630.00
14|48.162331|24.511715|   2149.88| 1757.00
15|48.162015|24.509462|   2320.63| 1794.00
16|48.162147|24.506932|   2508.86| 1828.00
17|48.161751|24.504244|   2713.03| 1887.00
18|48.161197|24.501793|   2904.98| 1975.00
19|48.160580|24.500537|   3020.67| 1975.00
20|48.160250|24.500106|   3069.34| 2031.00
