Місяць | Факт | Апрокс (m=4) | Похибка
     1 |  -2.0 |        -9.89 |     7.89
     2 |   0.0 |         3.54 |    -3.54
     3 |   5.0 |        12.01 |    -7.01
     4 |  10.0 |        16.57 |    -6.57
     5 |  15.0 |        18.18 |    -3.18
     6 |  20.0 |        17.69 |     2.31
     7 |  23.0 |        15.84 |     7.16
     8 |  22.0 |        13.27 |     8.73
     9 |  17.0 |        10.54 |     6.46
    10 |  10.0 |         8.06 |     1.94
    11 |   5.0 |         6.19 |    -1.19
    12 |   0.0 |         5.14 |    -5.14
    13 | -10.0 |         5.06 |   -15.06
    14 |   3.0 |         5.95 |    -2.95
    15 |   7.0 |         7.76 |    -0.76
    16 |  13.0 |        10.29 |     2.71
    17 |  19.0 |        13.26 |     5.74
    18 |  20.0 |        16.30 |     3.70
    19 |  22.0 |        18.90 |     3.10
    20 |  21.0 |        20.49 |     0.51
    21 |  18.0 |        20.35 |    -2.35
    22 |  15.0 |        17.70 |    -2.70
    23 |  10.0 |        11.64 |    -1.64
    24 |   3.0 |         1.16 |     1.84
